date,open,high,low,close,volume,oi,oi_change,oi_cumm,volume_change
2024-02-20 11:15:00,322.9,322.9,311,319,91800,1296435,0,533.0191573,-30.96446701
2024-02-20 11:16:00,319,324.4,316.15,320.9,83220,1351875,4.276342431,537.2954997,-9.346405229
2024-02-20 11:17:00,320.9,323.9,313.1,314.85,56775,1351875,0,537.2954997,-31.77721702
2024-02-20 11:18:00,314.85,315.6,295.9,306.75,259890,1351875,0,537.2954997,357.7542933
2024-02-20 11:19:00,306.75,306.75,291,299.35,159780,1426785,5.541192788,542.8366925,-38.52014314
2024-02-20 11:20:00,299.35,299.5,287.35,295.95,205245,1426785,0,542.8366925,28.45475028
2024-02-20 11:21:00,295.95,306.6,293.3,303.05,179475,1426785,0,542.8366925,-12.55572608
2024-02-20 11:22:00,303.05,307,299.3,303.15,137430,1524975,6.881905823,549.7185983,-23.42666109
2024-02-20 11:23:00,303.15,306,297.7,304.25,103155,1524975,0,549.7185983,-24.93996944
2024-02-20 11:24:00,304.25,309.65,302.65,306.1,105165,1524975,0,549.7185983,1.948524066
2024-02-20 11:25:00,306.35,319.35,304.4,315.7,244290,1559475,2.262332169,551.9809305,132.2921124
2024-02-20 11:26:00,316,317,310.25,313.85,89115,1559475,0,551.9809305,-63.52081542
2024-02-20 11:27:00,314.05,317.75,311.3,316,71535,1559475,0,551.9809305,-19.72731863
2024-02-20 11:28:00,316,317.25,303.6,306.15,111060,1567560,0.518443707,552.4993742,55.25267352
2024-02-20 11:29:00,306.15,310.45,300.75,302.95,94065,1567560,0,552.4993742,-15.30253917
2024-02-20 11:30:00,302.95,309.65,302.1,308,68940,1567560,0,552.4993742,-26.71025355
2024-02-20 11:31:00,308,308.4,298.15,299.75,110205,1598745,1.989397535,554.4887717,59.85639687
2024-02-20 11:32:00,299.75,301.3,273,281,431970,1598745,0,554.4887717,291.9695114
2024-02-20 11:33:00,281,298.2,276,296.95,316965,1598745,0,554.4887717,-26.62337662
2024-02-20 11:34:00,296.95,297.7,287.75,292.5,132210,1610700,0.747774035,555.2365458,-58.28877005
2024-02-20 11:35:00,292.5,299.05,290.35,297.1,195270,1610700,0,555.2365458,47.69684593
2024-02-20 11:36:00,297.1,309.15,296.45,307.15,203145,1610700,0,555.2365458,4.032877554
2024-02-20 11:37:00,307.15,309,302.75,304.6,116265,1709505,6.134289439,561.3708352,-42.76748136
2024-02-20 11:38:00,304.6,317,304.6,314.65,188265,1709505,0,561.3708352,61.92749323
2024-02-20 11:39:00,314.65,346.75,313.4,330.1,471750,1709505,0,561.3708352,150.5776432
2024-02-20 11:40:00,328.85,333.45,319.85,329.4,283050,1681050,-1.664516922,559.7063183,-40
2024-02-20 11:41:00,329.4,341.7,322.65,336.25,215190,1681050,0,559.7063183,-23.9745628
2024-02-20 11:42:00,336.25,352.1,336.25,339.3,359415,1681050,0,559.7063183,67.02216646
2024-02-20 11:43:00,339.3,339.9,320.5,320.8,182475,1578255,-6.11492817,553.5913901,-49.22999875
2024-02-20 11:44:00,320.8,333.1,319.25,331.65,113355,1578255,0,553.5913901,-37.87916153
2024-02-20 11:45:00,331.65,340,325.95,331.65,109455,1578255,0,553.5913901,-3.440518724
2024-02-20 11:46:00,331.65,334.7,323.6,326.85,104130,1542405,-2.271496051,551.3198941,-4.865013019
2024-02-20 11:47:00,326.85,337.15,325.3,332.6,69045,1542405,0,551.3198941,-33.6934601
2024-02-20 11:48:00,332.6,336,325.75,328.1,58455,1542405,0,551.3198941,-15.33782316
2024-02-20 11:49:00,328.1,329.6,315.8,324.85,108735,1505220,-2.410845401,548.9090487,86.01488324
2024-02-20 11:50:00,324.85,329.85,322.45,328.45,52275,1505220,0,548.9090487,-51.92440337
2024-02-20 11:51:00,328.45,334.8,320.9,323.7,86760,1505220,0,548.9090487,65.96843615
2024-02-20 11:52:00,322.8,322.8,313.95,315,88590,1489590,-1.038386415,547.8706622,2.109266943
2024-02-20 11:53:00,315,315.95,304.05,309.3,172740,1489590,0,547.8706622,94.98814765
2024-02-20 11:54:00,311.1,314.45,304.95,313.65,95970,1489590,0,547.8706622,-44.44251476
2024-02-20 11:55:00,313.3,317.6,306.45,314.25,118020,1485285,-0.2890057,547.5816565,22.97592998
2024-02-20 11:56:00,314.25,317.5,309.85,313.75,80865,1485285,0,547.5816565,-31.48195221
2024-02-20 11:57:00,313.75,318,311.15,317.25,77070,1485285,0,547.5816565,-4.693006863
2024-02-20 11:58:00,317.25,320.55,310.6,310.6,73320,1475385,-0.666538745,546.9151178,-4.865706501
2024-02-20 11:59:00,310.6,317.2,307.65,313.75,72930,1475385,0,546.9151178,-0.531914894
2024-02-20 12:00:00,313.75,315,300.3,308.05,132645,1475385,0,546.9151178,81.87988482
2024-02-20 12:01:00,308.05,313.05,304.7,306.3,78825,1478925,0.239937372,547.1550552,-40.57446568
2024-02-20 12:02:00,306.3,307.1,294.15,296.25,151185,1478925,0,547.1550552,91.79828735
2024-02-20 12:03:00,296.25,296.25,281.25,282.65,240240,1478925,0,547.1550552,58.90465324
2024-02-20 12:04:00,282.65,288.5,277.35,281.7,212310,1544745,4.450529946,551.6055851,-11.62587413
2024-02-20 12:05:00,281.7,289.3,278.75,286.05,134730,1544745,0,551.6055851,-36.54090716
2024-02-20 12:06:00,286.05,289,265.1,272.55,252960,1544745,0,551.6055851,87.75328435
2024-02-20 12:07:00,272.55,272.55,257.7,263.75,248685,1650690,6.858413525,558.4639986,-1.689990512
2024-02-20 12:08:00,263.75,276.5,254.2,274.3,316155,1650690,0,558.4639986,27.13070752
2024-02-20 12:09:00,274.3,274.3,264.15,267.6,164160,1650690,0,558.4639986,-48.07610191
2024-02-20 12:10:00,267.6,271.5,262,271.5,138810,1745310,5.732148374,564.196147,-15.44225146
2024-02-20 12:11:00,271.5,277.4,266.85,267.05,182235,1745310,0,564.196147,31.28376918
2024-02-20 12:12:00,267.05,277.15,267.05,274.45,95940,1745310,0,564.196147,-47.35369166
2024-02-20 12:13:00,274.45,281.05,271.95,275.75,142485,1789695,2.543101226,566.7392482,48.51469669
2024-02-20 12:14:00,275.75,282.05,273.65,278,130620,1789695,0,566.7392482,-8.327192336
2024-02-20 12:15:00,278,283.7,274,283.55,145950,1789695,0,566.7392482,11.73633441
2024-02-20 12:16:00,283.55,287.9,281.45,282.95,199920,1823175,1.870709814,568.6099581,36.97841727
2024-02-20 12:17:00,282.95,283.2,277.8,280.3,114900,1823175,0,568.6099581,-42.5270108
2024-02-20 12:18:00,280.3,293.8,280,292.8,172350,1823175,0,568.6099581,50
2024-02-20 12:19:00,292,295.45,287,293.05,182805,1817445,-0.31428689,568.2956712,6.066144473
2024-02-20 12:20:00,293,298,281.4,290.35,182295,1817445,0,568.2956712,-0.278985805
2024-02-20 12:21:00,289.75,300,286.4,287.15,238050,1817445,0,568.2956712,30.58504073
2024-02-20 12:22:00,287.7,291.3,285.55,289.35,83970,1835595,0.998654705,569.2943259,-64.72589792
2024-02-20 12:23:00,289.35,294.15,284.5,285.1,103365,1835595,0,569.2943259,23.09753483
2024-02-20 12:24:00,285.1,290,274.8,274.8,179445,1835595,0,569.2943259,73.60325062
2024-02-20 12:25:00,276.35,280.8,273.15,277.05,124305,1790670,-2.4474353,566.8468906,-30.72807824
2024-02-20 12:26:00,277.05,283.9,276.25,279.3,100875,1790670,0,566.8468906,-18.84879932
2024-02-20 12:27:00,279.3,285.6,279.3,284.3,70560,1790670,0,566.8468906,-30.05204461
2024-02-20 12:28:00,284.3,289.05,281.05,283.4,94305,1796715,0.337583139,567.1844737,33.65221088
2024-02-20 12:29:00,283.4,284.6,277.8,279.25,69375,1796715,0,567.1844737,-26.43550183
2024-02-20 12:30:00,279.25,284.4,276.6,281.7,87450,1796715,0,567.1844737,26.05405405
2024-02-20 12:31:00,281.7,292.5,280.6,292.1,110880,1818360,1.204698575,568.3891723,26.79245283
2024-02-20 12:32:00,292.1,296.25,289.8,290.6,196905,1818360,0,568.3891723,77.58387446
2024-02-20 12:33:00,290.6,292.15,278.35,287.15,120960,1818360,0,568.3891723,-38.56936086
2024-02-20 12:34:00,287.15,287.15,276,277.9,86865,1832565,0.781198443,569.1703707,-28.18700397
2024-02-20 12:35:00,277.9,284.8,277.7,284.55,70815,1832565,0,569.1703707,-18.47694699
2024-02-20 12:36:00,285,285,277,283.4,92415,1832565,0,569.1703707,30.50201229
2024-02-20 12:37:00,284,285.4,280.45,282,50280,1849680,0.933936859,570.1043076,-45.59324785
2024-02-20 12:38:00,282,292.5,282,285.9,109890,1849680,0,570.1043076,118.5560859
2024-02-20 12:39:00,285.3,286.3,281.3,281.5,63240,1849680,0,570.1043076,-42.45154245
2024-02-20 12:40:00,281.5,282.9,271.5,276.3,198090,1862730,0.705527443,570.809835,213.2352941
2024-02-20 12:41:00,276.3,290,276.2,286.5,157095,1862730,0,570.809835,-20.69513857
2024-02-20 12:42:00,286.5,288.75,281.65,281.65,103965,1862730,0,570.809835,-33.82029982
2024-02-20 12:43:00,281.5,283,262.2,268.3,242985,1876320,0.729574334,571.5394094,133.7180782
2024-02-20 12:44:00,268.3,281.15,268,281.15,162630,1876320,0,571.5394094,-33.06994259
2024-02-20 12:45:00,281.15,281.15,270.05,275.3,129945,1876320,0,571.5394094,-20.09776794
2024-02-20 12:46:00,274,280.2,273.1,279,90825,1904025,1.476560501,573.0159699,-30.10504444
2024-02-20 12:47:00,279,281.6,276.9,280,68985,1904025,0,573.0159699,-24.04624277
2024-02-20 12:48:00,279.8,281.85,272.1,273.8,95640,1904025,0,573.0159699,38.63883453
2024-02-20 12:49:00,273.8,274,262.45,272.4,172305,1938405,1.80564856,574.8216184,80.15997491
2024-02-20 12:50:00,272.4,275.6,267.85,271,91575,1938405,0,574.8216184,-46.85296422
2024-02-20 12:51:00,271,277.65,270.45,275.7,87525,1938405,0,574.8216184,-4.422604423
2024-02-20 12:52:00,275.7,276.65,271.15,273.85,62505,1962825,1.259798649,576.0814171,-28.58611825
2024-02-20 12:53:00,273.85,274.1,264.6,270.6,126855,1962825,0,576.0814171,102.9517639
2024-02-20 12:54:00,270.6,274.35,270.05,272.8,79005,1962825,0,576.0814171,-37.72023176
2024-02-20 12:55:00,273.05,273.95,262.4,271.25,195660,2048160,4.347560277,580.4289774,147.6552117
2024-02-20 12:56:00,271.25,273.45,260.35,264.3,213345,2048160,0,580.4289774,9.038638454
2024-02-20 12:57:00,264.3,274.45,262.35,272.65,214980,2048160,0,580.4289774,0.766364339
2024-02-20 12:58:00,272.65,273.4,263.15,270.9,244245,2169435,5.921168268,586.3501456,13.61289422
2024-02-20 12:59:00,270.85,280.55,270.8,278.9,289950,2169435,0,586.3501456,18.71276792
2024-02-20 13:00:00,278.9,291,276.9,280.05,453165,2169435,0,586.3501456,56.29073978
2024-02-20 13:01:00,280.05,280.05,265.9,275,297300,2317635,6.831271737,593.1814174,-34.39475688
2024-02-20 13:02:00,275,285.3,275,283.15,257190,2317635,0,593.1814174,-13.49142281
2024-02-20 13:03:00,283.15,283.15,271.15,274.75,146175,2317635,0,593.1814174,-43.16458649
2024-02-20 13:04:00,274.75,275.1,266.55,270.2,129480,2460450,6.16210059,599.3435179,-11.42124166
2024-02-20 13:05:00,270.2,274.25,268.65,273.3,132765,2460450,0,599.3435179,2.537071362
2024-02-20 13:06:00,273.3,273.6,266.5,268.6,77355,2460450,0,599.3435179,-41.73539713
2024-02-20 13:07:00,268.6,273.85,268.3,270.9,90165,2554755,3.832835457,603.1763534,16.56001551
2024-02-20 13:08:00,271.4,273.65,270.1,270.95,55755,2554755,0,603.1763534,-38.16336716
2024-02-20 13:09:00,270.95,278.35,270.95,275.25,92580,2554755,0,603.1763534,66.04788808
2024-02-20 13:10:00,275.25,280.85,273,278.6,102765,2558835,0.159702202,603.3360556,11.00129618
2024-02-20 13:11:00,278.6,282,275.65,280.45,151845,2558835,0,603.3360556,47.75945118
2024-02-20 13:12:00,280.6,293.45,278.9,282.6,295005,2558835,0,603.3360556,94.28035167
2024-02-20 13:13:00,282.5,296,282.5,291.3,312345,2590635,1.24275305,604.5788087,5.877866477
2024-02-20 13:14:00,291.5,295.85,285.45,285.45,210570,2590635,0,604.5788087,-32.58416174
2024-02-20 13:15:00,286.35,297.7,286.15,291.4,283680,2590635,0,604.5788087,34.72004559
2024-02-20 13:16:00,291.4,293.2,279,282.95,242430,2593830,0.123328836,604.7021375,-14.54103215
2024-02-20 13:17:00,282.95,283.6,270.7,275.4,266100,2593830,0,604.7021375,9.763643113
2024-02-20 13:18:00,275.4,291.75,273.8,286.2,263505,2593830,0,604.7021375,-0.975197294
2024-02-20 13:19:00,286.2,291.35,285,285.85,105165,2617035,0.894623009,605.5967605,-60.08994137
2024-02-20 13:20:00,285.5,289,280.2,282.3,115470,2617035,0,605.5967605,9.798887463
2024-02-20 13:21:00,283.25,283.25,276.5,277.15,114045,2617035,0,605.5967605,-1.234086776
2024-02-20 13:22:00,276.45,276.45,266.05,268.45,372285,2639910,0.874080782,606.4708413,226.4369328
2024-02-20 13:23:00,268.45,271.85,246.6,262.5,528735,2639910,0,606.4708413,42.02425561
2024-02-20 13:24:00,262.5,266.9,255.55,264,225165,2639910,0,606.4708413,-57.41439473
2024-02-20 13:25:00,264,264.75,254.85,262.7,208680,2741940,3.864904485,610.3357458,-7.321297715
2024-02-20 13:26:00,262.7,262.7,256.6,260.8,119970,2741940,0,610.3357458,-42.51006325
2024-02-20 13:27:00,260.8,263.2,250.15,250.95,260715,2741940,0,610.3357458,117.3168292
2024-02-20 13:28:00,250.95,259.4,250.95,259.4,183105,2913210,6.246307359,616.5820531,-29.76813762
2024-02-20 13:29:00,259.4,260.7,220,229.05,624255,2913210,0,616.5820531,240.9273368
2024-02-20 13:30:00,229.05,229.05,209.1,222.55,785985,2913210,0,616.5820531,25.90768196
2024-02-20 13:31:00,220,237.25,218.6,235.45,571425,3065085,5.213321388,621.7953745,-27.29823088
2024-02-20 13:32:00,235.45,237.9,225.9,225.95,374055,3065085,0,621.7953745,-34.53996587
2024-02-20 13:33:00,225.75,239.25,225.6,237.75,340905,3065085,0,621.7953745,-8.862333079
2024-02-20 13:34:00,237.75,239.1,224.5,226.25,339960,3330990,8.675289592,630.4706641,-0.277203326
2024-02-20 13:35:00,226.25,238.8,226.25,238.8,286275,3330990,0,630.4706641,-15.79156371
2024-02-20 13:36:00,238.8,240.8,232.15,238.35,217035,3330990,0,630.4706641,-24.18653393
2024-02-20 13:37:00,238.35,256.7,238.35,245.1,544530,3426465,2.866264984,633.3369291,150.8950169
2024-02-20 13:38:00,246.35,250.5,243.5,246.65,180135,3426465,0,633.3369291,-66.91917801
2024-02-20 13:39:00,245,256.75,245,254.1,346035,3426465,0,633.3369291,92.09759347
2024-02-20 13:40:00,254.05,257.8,247.8,251.8,274680,3433740,0.212317943,633.549247,-20.62074646
2024-02-20 13:41:00,252.25,253.8,240.7,240.75,278775,3433740,0,633.549247,1.490825688
2024-02-20 13:42:00,243.85,260.75,243.85,252.25,389070,3433740,0,633.549247,39.56416465
2024-02-20 13:43:00,252.85,257.15,236.8,240.7,392850,3532005,2.861748414,636.4109954,0.971547536
2024-02-20 13:44:00,240.7,243.7,237.05,238.55,173370,3532005,0,636.4109954,-55.86865216
2024-02-20 13:45:00,238.55,245.95,237.15,243.95,203370,3532005,0,636.4109954,17.30403184
2024-02-20 13:46:00,243.95,252.95,242.4,249.85,226005,3609300,2.188417061,638.5994125,11.12996017
2024-02-20 13:47:00,249.85,252.05,243,244.3,137595,3609300,0,638.5994125,-39.11860357
